Date,Value,avg,USDbalance,BTCbalance,Portfolio,Multiplier
28/1/18,11333.81914,0.511971356,152577.3317,0.026948743,152882.7639,0
4/2/18,9531.110714,0.440941502,152577.3317,0.026948743,152834.1832,0
11/2/18,7859.026176,0.378965132,133299.1255,2.479950644,152789.1226,0.126350395
18/2/18,9646.720595,0.432181943,133299.1255,2.479950644,157222.5165,0
25/2/18,10529.77405,0.45025581,133299.1255,2.479950644,159412.4455,0
4/3/18,10819.40857,0.44909077,133299.1255,2.479950644,160130.7248,0
11/3/18,9847.31381,0.413005476,133299.1255,2.479950644,157719.9778,0
18/3/18,8692.701714,0.374555393,115680.891,4.506735312,154856.5968,0.132170669
25/3/18,8665.84,0.372322032,100045.477,6.310993643,154735.5381,0.135159869
1/4/18,7571.530952,0.334862281,81049.48374,8.819864484,147829.3607,0.189873584
8/4/18,6993.640952,0.312385042,62612.71482,11.45608345,142732.4492,0.227475464
15/4/18,7510.930626,0.324941313,49715.75785,13.1731752,148658.5629,0.20597984
22/4/18,8456.419669,0.350079366,41435.64275,14.15232659,161113.6557,0.166549107
29/4/18,9239.866238,0.367449799,35560.89132,14.7881314,172201.2474,0.141780145
6/5/18,9506.658182,0.36790831,30541.4269,15.31612603,176146.6017,0.141151254
13/5/18,8987.016381,0.345897683,25263.86569,15.90336889,168187.7024,0.172800086
20/5/18,8389.602333,0.324732799,20051.26259,16.52468595,158686.8064,0.206326426
27/5/18,7740.805646,0.299279693,15011.31736,17.1757739,147965.6449,0.251353011
3/6/18,7484.855,0.288663338,10930.09669,17.72103772,143569.4945,0.27187625
10/6/18,7489.182687,0.282896873,7831.405723,18.13479328,143646.1856,0.283500783
17/6/18,6618.421429,0.256900106,5164.253381,18.53778248,127855.1102,0.34057134
24/6/18,6471.853929,0.251623963,3340.32082,18.81960784,125138.0737,0.353184173
1/7/18,6163.162189,0.243250453,2091.049551,19.02230756,119328.6163,0.37399739
8/7/18,6598.932262,0.256647275,1377.651973,19.13041559,127617.9686,0.341167228
15/7/18,6392.796071,0.252403636,893.6875848,19.20612024,123674.4976,0.351296552
22/7/18,7188.0925,0.274854548,625.3038931,19.2434575,138949.0565,0.300310417
29/7/18,8024.55381,0.293566244,461.3113846,19.26389384,155045.4641,0.262260495
5/8/18,7567.118333,0.278263938,326.1023948,19.28176181,146233.4757,0.293097015
12/8/18,6563.311619,0.241944261,203.052231,19.30050999,126878.3137,0.377335971
19/8/18,6351.148617,0.229593778,119.7578996,19.31362483,122783.4596,0.410211358
26/8/18,6545.567181,0.234894421,72.35715891,19.32086649,126538.3868,0.39580471
2/9/18,6996.974313,0.245748631,45.75270553,19.32466877,135259.9637,0.367682394
9/9/18,6746.58478,0.237785157,27.99431941,19.32730097,130421.2689,0.388138492
16/9/18,6382.369405,0.229352587,16.49207162,19.32910316,123381.9687,0.410877922
23/9/18,6513.534429,0.231251413,9.801955353,19.33013027,125917.271,0.405656513
30/9/18,6579.507381,0.231331777,5.827881474,19.33073428,127192.5368,0.405436848
7/10/18,6550.207143,0.227499175,3.403291376,19.33110444,126626.1417,0.416032843
14/10/18,6417.527885,0.218574055,1.900070258,19.33133867,124061.3051,0.441696273
21/10/18,6535.156584,0.216705045,1.05025696,19.33146871,126335.2253,0.447253618
28/10/18,6483.023833,0.213846356,0.571463992,19.33154256,125327.4226,0.455881738
4/11/18,6357.997075,0.205100229,0.295284913,19.331586,122910.4625,0.483283432
11/11/18,6446.005476,0.205810033,0.153252524,19.33160804,124611.8045,0.48100117
18/11/18,5920.05631,0.18455358,0.068307256,19.33162239,114444.3614,0.554282993
25/11/18,4500.359881,0.130404804,0.013520999,19.33163456,86999.32612,0.802056187
2/12/18,4092.031145,0.110710416,0.001030909,19.33163761,79105.66421,0.923754959
9/12/18,3714.295119,0.082436315,-0.000148873,19.33163793,71803.40825,1.144409448
16/12/18,3365.175,0.054829648,-0.000148873,19.33163793,65054.34452,0
23/12/18,3830.497143,0.092158819,-0.000148873,19.33163793,74049.7837,0
30/12/18,3844.17,0.098445128,-0.000148873,19.33163793,74314.10243,0
6/1/19,3837.885476,0.093155272,-0.000148873,19.33163793,74192.61229,0
13/1/19,3829.643571,0.092012039,-0.000148873,19.33163793,74033.28277,0
20/1/19,3636.90631,0.081621614,-0.000148873,19.33163793,70307.35581,0
27/1/19,3568.933929,0.073880337,-0.000148873,19.33163793,68993.33835,0
3/2/19,3474.434286,0.071574846,-0.000148873,19.33163793,67166.50547,0
10/2/19,3500.232857,0.07322187,-0.000148873,19.33163793,67665.23411,0
17/2/19,3627.248571,0.073754095,-0.000148873,19.33163793,70120.65591,0
24/2/19,3937.601429,0.09049548,-0.000148873,19.33163793,76120.28498,0
3/3/19,3828.005714,0.083475987,-0.000148873,19.33163793,74001.62031,0
10/3/19,3858.285714,0.087229249,-0.000148873,19.33163793,74586.98231,0
17/3/19,3916.742857,0.096879133,-0.000148873,19.33163793,75717.05463,0
24/3/19,4011.788571,0.105528383,-0.000148873,19.33163793,77554.44396,0
31/3/19,4027.658571,0.110879597,-0.000148873,19.33163793,77861.23705,0
7/4/19,4728.987143,0.173847446,-0.000148873,19.33163793,91419.06707,0
14/4/19,5159.511429,0.204516302,-0.000148873,19.33163793,99741.80668,0
21/4/19,5209.762857,0.199407064,-0.000148873,19.33163793,100713.2491,0
28/4/19,5340,0.203459227,-0.000148873,19.33163793,103230.9464,0
5/5/19,5425.254286,0.208812818,-0.000148873,19.33163793,104879.0514,0
12/5/19,6119.687143,0.263376563,-0.000148873,19.33163793,118303.5759,0
19/5/19,7644.937143,0.382329568,-0.000148873,19.33163793,147789.1567,0
26/5/19,7962.022857,0.407353033,-0.000148873,19.33163793,153918.9429,0
2/6/19,8611.201429,0.449229996,-0.000148873,19.33163793,166468.628,0
9/6/19,8009.807143,0.405128773,-0.000148873,19.33163793,154842.6914,0
16/6/19,8220.368571,0.416857142,-0.000148873,19.33163793,158913.1887,0
23/6/19,9581.958571,0.496018389,-0.000148873,19.33163793,185234.9536,0
30/6/19,11704.07286,0.616146556,28542.60459,16.89294799,226258.8986,0.126150197
7/7/19,11064.9,0.566932269,28542.60459,16.89294799,215461.3848,0
14/7/19,11860.38714,0.599202585,28542.60459,16.89294799,228899.5077,0
21/7/19,10295.95286,0.500917192,28542.60459,16.89294799,202471.6007,0
28/7/19,9960.758571,0.469546031,28542.60459,16.89294799,196809.1811,0
4/8/19,10065.20714,0.467784059,28542.60459,16.89294799,198573.6253,0
11/8/19,11618.56857,0.546052436,28542.60459,16.89294799,224814.4792,0
18/8/19,10672.04429,0.488039701,28542.60459,16.89294799,208824.8936,0
25/8/19,10398.05857,0.465104235,28542.60459,16.89294799,204196.4672,0
1/9/19,9864.078571,0.428081755,28542.60459,16.89294799,195175.9709,0
8/9/19,10392.05143,0.448588832,28542.60459,16.89294799,204094.9889,0
15/9/19,10303.67286,0.439376381,28542.60459,16.89294799,202602.0143,0
22/9/19,10193.21286,0.426098393,28542.60459,16.89294799,200736.0192,0
29/9/19,8739.544286,0.348560835,23724.453,17.44425266,176179.2717,0.168805603
6/10/19,8229.824286,0.320813895,18673.41694,18.0580004,167287.5872,0.212904216
13/10/19,8289.188571,0.322014671,14735.64595,18.53304943,168359.5875,0.21087576
20/10/19,8113.277143,0.309967874,11320.44405,18.95398931,165099.4123,0.231764655
27/10/19,8186.91,0.312739679,8752.396812,19.26766654,166495.0487,0.226850398
3/11/19,9295.774286,0.369043859,7530.570651,19.39910542,187860.276,0.139599036
10/11/19,9151.061429,0.357989822,6363.05816,19.52668761,185052.976,0.15503639
17/11/19,8698.797143,0.335283221,5159.126567,19.66508969,176221.7526,0.189206442
24/11/19,7872.854286,0.298630153,3856.048363,19.83060503,159979.5122,0.252577289
1/12/19,7353.042857,0.274221863,2692.819408,19.98880199,149671.3371,0.301663477
8/12/19,7378.555714,0.275683137,1888.890852,20.09775672,150181.3085,0.298545292
15/12/19,7255.95,0.271410311,1307.61866,20.17786645,147717.2087,0.307732017
22/12/19,7053.045714,0.256633258,861.4587941,20.24112421,143623.0331,0.34120029
29/12/19,7288.471429,0.265607595,585.3165567,20.27901174,148388.3142,0.320551882
5/1/20,7223.931429,0.261235474,391.8792564,20.30578903,147079.5068,0.33048322
12/1/20,7906.142857,0.294151316,289.548215,20.31873226,160932.3482,0.261129008
19/1/20,8638.391429,0.331067163,232.8120431,20.32530017,175810.7108,0.195947234
26/1/20,8550.667143,0.325192633,184.954605,20.3308971,174027.6884,0.205562553
2/2/20,9194.847143,0.354936685,155.4668444,20.33410409,187124.4457,0.159432422
9/2/20,9532.008571,0.367617494,133.4605137,20.33641276,193980.3213,0.141549993
16/2/20,10166.00143,0.390801524,118.6136927,20.3378732,206873.4617,0.111245046
23/2/20,9771.434286,0.367267622,101.7669471,20.33959728,198848.8052,0.142030361
1/3/20,9114.15,0.334095228,82.32003645,20.34173099,185479.9075,0.191092601
8/3/20,8922.97,0.323938401,65.22628268,20.34364669,181590.9754,0.207649978
15/3/20,6771.275714,0.225775775,37.77392412,20.34770093,137817.6671,0.420878784
22/3/20,5679.16,0.183862061,16.73946377,20.35140473,115595.6231,0.556851342
