Date,Value,avg,USDbalance,BTCbalance,Portfolio
"Sunday, 10 June 2018",7489.182687,0.282896873,2234.918533,10.4580794,80557.38573
"Sunday, 17 June 2018",6618.421429,0.256900106,1922.029938,10.50535481,71450.89535
"Sunday, 24 June 2018",6471.853929,0.251623963,1633.725447,10.54990225,69911.15176
"Sunday, 1 July 2018",6163.162189,0.243250453,1372.329376,10.5923149,66654.48408
"Sunday, 8 July 2018",6598.932262,0.256647275,1180.203263,10.62142963,71270.29792
"Sunday, 15 July 2018",6392.796071,0.252403636,1003.172774,10.64912182,69080.83688
"Sunday, 22 July 2018",7188.0925,0.274854548,882.7920409,10.66586906,77550.04543
"Sunday, 29 July 2018",8024.55381,0.293566244,794.5128368,10.67687019,86471.63223
"Sunday, 5 August 2018",7567.118333,0.278263938,699.1712964,10.68946965,81587.65303
"Sunday, 12 August 2018",6563.311619,0.241944261,587.303889,10.706514,70857.49162
"Sunday, 19 August 2018",6351.148617,0.229593778,481.5891889,10.72315897,68585.96547
"Sunday, 26 August 2018",6545.567181,0.234894421,399.7190268,10.7356667,70670.74664
"Sunday, 2 September 2018",6996.974313,0.245748631,335.7639825,10.74480709,75516.90316
"Sunday, 9 September 2018",6746.58478,0.237785157,278.6841055,10.75326764,72826.51593
"Sunday, 16 September 2018",6382.369405,0.229352587,228.5209665,10.76112729,68910.01052
"Sunday, 23 September 2018",6513.534429,0.231251413,187.3871925,10.76744241,70321.49404
"Sunday, 30 September 2018",6579.507381,0.231331777,153.6574979,10.77256889,71031.854
"Sunday, 7 October 2018",6550.207143,0.227499175,124.4625733,10.77702599,70716.21517
"Sunday, 14 October 2018",6417.527885,0.218574055,99.57005863,10.78090482,69286.32735
"Sunday, 21 October 2018",6535.156584,0.216705045,78.66034632,10.78410439,70554.47117
"Sunday, 28 October 2018",6483.023833,0.213846356,62.14167359,10.78665238,69992.26614
"Sunday, 4 November 2018",6357.997075,0.205100229,47.84908866,10.78890035,68643.64596
"Sunday, 11 November 2018",6446.005476,0.205810033,36.84379827,10.79060765,69593.15983
"Sunday, 18 November 2018",5920.05631,0.18455358,26.52753476,10.79235025,63917.84873
"Sunday, 25 November 2018",4500.359881,0.130404804,15.12069481,10.7948849,48595.98762
"Sunday, 2 December 2018",4092.031145,0.110710416,8.01396825,10.79662162,44188.12591
"Sunday, 9 December 2018",3714.295119,0.082436315,3.84670476,10.79774358,40109.85297
"Sunday, 16 December 2018",3365.175,0.054829648,1.76948419,10.79836085,36340.14345
"Sunday, 23 December 2018",3830.497143,0.092158819,0.867047253,10.79859644,41364.85985
"Sunday, 30 December 2018",3844.17,0.098445128,0.433523626,10.79870921,41512.50752
"Sunday, 6 January 2019",3837.885476,0.093155272,0.212426577,10.79876682,41444.64278
"Sunday, 13 January 2019",3829.643571,0.092012039,0.104089023,10.79879511,41355.64037
"Sunday, 20 January 2019",3636.90631,0.081621614,0.049962731,10.79880999,39274.31017
"Sunday, 27 January 2019",3568.933929,0.073880337,0.023482484,10.79881741,38540.28934
"Sunday, 3 February 2019",3474.434286,0.071574846,0.011036767,10.798821,37519.80495
"Sunday, 10 February 2019",3500.232857,0.07322187,0.005187281,10.79882267,37798.3991
"Sunday, 17 February 2019",3627.248571,0.073754095,0.002438022,10.79882342,39170.01928
"Sunday, 24 February 2019",3937.601429,0.09049548,0.001194631,10.79882374,42521.46498
"Sunday, 3 March 2019",3828.005714,0.083475987,0.000573423,10.7988239,41337.96018
"Sunday, 10 March 2019",3858.285714,0.087229249,0.000280977,10.79882398,41664.94857
"Sunday, 17 March 2019",3916.742857,0.096879133,0.000140489,10.79882401,42296.21697
"Sunday, 24 March 2019",4011.788571,0.105528383,7.31E-05,10.79882403,43322.59891
"Sunday, 31 March 2019",4027.658571,0.110879597,3.87E-05,10.79882404,43493.97624
"Sunday, 7 April 2019",4728.987143,0.173847446,2.67E-05,10.79882404,51067.50008
"Sunday, 14 April 2019",5159.511429,0.204516302,2.06E-05,10.79882404,55716.65609
"Sunday, 21 April 2019",5209.762857,0.199407064,1.54E-05,10.79882404,56259.31242
"Sunday, 28 April 2019",5340,0.203459227,1.17E-05,10.79882405,57665.72041
"Sunday, 5 May 2019",5425.254286,0.208812818,9.03E-06,10.79882405,58586.36644
"Sunday, 12 May 2019",6119.687143,0.263376563,7.85E-06,10.79882405,66085.42468
"Sunday, 19 May 2019",7644.937143,0.382329568,7.46E-06,10.79882405,82556.33106
"Sunday, 26 May 2019",7962.022857,0.407353033,7.46E-06,10.79882405,85980.48389
"Sunday, 2 June 2019",8611.201429,0.449229996,7.46E-06,10.79882405,92990.84906
"Sunday, 9 June 2019",8009.807143,0.405128773,7.46E-06,10.79882405,86496.49799
"Sunday, 16 June 2019",8220.368571,0.416857142,7.46E-06,10.79882405,88770.31381
"Sunday, 23 June 2019",9581.958571,0.496018389,7.46E-06,10.79882405,103473.8846
"Sunday, 30 June 2019",11704.07286,0.616146556,273.2378462,10.77547851,126390.2234
"Sunday, 7 July 2019",11064.9,0.566932269,273.2378462,10.77547851,119502.83
"Sunday, 14 July 2019",11860.38714,0.599202585,273.2378462,10.77547851,128074.5846
