,index,Date,Value,400MA,400MArisk,Mayer,btcIssuance,usdIssuance,MAusdIssuance,PuellMultiple,Price/52w,Return%,Sharpe,Sortino,ind,PowerLaw,avg
3690,4282,2020-09-23,10532.22,8955.78845,0.22407473693369484,0.27113039248507537,1800.0,18957996.0,15906039.04109589,0.4073916383463222,0.25691509090346604,0.9756041440166507,0.5313952841717888,,4053,0.2747903272679502,0.3276162450180496
3691,4283,2020-09-24,10234.48,8954.82585,0.21460072562301946,0.25674327105889216,1800.0,18422064.0,15914328.263013698,0.38960301933694463,0.24375652551770727,-2.8269443669046046,0.542158046214245,0.35071087098273634,4054,0.2603598811701303,0.31787024482015647
3692,4284,2020-09-25,10732.43,8953.51065,0.2305561969653187,0.27946424754881344,1800.0,19318374.0,15925671.715068493,0.41836631932859897,0.26485871264367666,4.865415731917988,0.5561915683789638,,4055,0.2828614685138273,0.3387164188965331
3693,4285,2020-09-26,10692.84,8955.018225,0.22923395252473464,0.2768500343079061,1800.0,19247112.0,15938677.084931508,0.4155339878535174,0.26273757421933447,-0.3688819773341234,0.5634624525041083,0.38049678932962944,4056,0.2805324867414607,0.33805841469184356
3694,4286,2020-09-27,10732.4,8956.470375,0.23044193955534406,0.27793253482434765,1800.0,19318320.0,15951195.715068493,0.41735782654471926,0.2640244014920987,0.3699671930001758,0.5605601798802053,,4057,0.2817860090034005,0.33868381521668595
3695,4287,2020-09-28,10774.24,8957.286849999999,0.23174675008637868,0.279121022962223,1800.0,19393632.0,15963767.309589041,0.41931005439916474,0.26539790292411003,0.3898475643844712,0.5605816390030077,,4058,0.28313478277774173,0.33988202535877104
3696,4288,2020-09-29,10692.33,8958.862949999999,0.22907109913706653,0.2737062838885159,1800.0,19246194.0,15976764.739726027,0.4140110603488702,0.2614676129461473,-0.7602392372919042,0.5630088840883257,0.38030957845005087,4059,0.2788985845513972,0.3366939208267205
3697,4289,2020-09-30,10840.8,8960.256125,0.2337574558423103,0.2792166589695289,1800.0,19513440.0,15989256.542465754,0.4221919573447067,0.2674123268286865,1.388565448316692,0.5590537169984602,,4060,0.2850471981141276,0.3411132190163033
3698,4290,2020-10-01,10777.92,8961.457425,0.23170409032865572,0.27478380385011475,1800.0,19400256.0,16001363.391780822,0.4180443024791647,0.26428619844711815,-0.5800309940225734,0.5575114445726539,0.37342301638202335,4061,0.2816892011142543,0.3380031734653269
3699,4291,2020-10-02,10619.24,8962.972349999998,0.22658212513151094,0.26603403861175395,1800.0,19114632.0,16012396.208219178,0.4083592264883781,0.25709896557918277,-1.4722692319111719,0.5531426104239756,0.36668595034507756,4062,0.27396467106413225,0.33086360621648897
